City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,0.6,83,69,4.34,GS,1715035486
1,gadzhiyevo,69.2551,33.3362,-2.81,62,100,7.54,RU,1715035486
2,ancud,-41.8697,-73.8203,6.57,94,97,1.05,CL,1715035454
3,island harbour,50.724,-1.2758,13.43,73,100,1.79,GB,1715035487
4,ta`u,-14.2336,-169.5144,28.67,81,100,4.15,AS,1715035487
5,kodiak,57.79,-152.4072,7.73,76,100,4.63,US,1715035487
6,mukalla,14.5425,49.1242,28.46,80,6,2.5,YE,1715035487
7,port-aux-francais,-49.35,70.2167,6.71,97,100,13.22,TF,1715035376
8,waitangi,-43.9535,-176.5597,11.57,88,90,1.79,NZ,1715035487
9,hamilton,39.1834,-84.5333,21.97,90,100,2.06,US,1715035488
10,sarioglan,39.0769,35.9667,4.42,78,69,1.54,TR,1715035488
11,polyarnyy,69.1989,33.4478,-3.35,65,100,6.5,RU,1715035488
12,karabash,55.4808,60.2157,4.11,93,88,4.06,RU,1715035488
13,cuyo,10.8525,121.0086,29.55,70,9,5.96,PH,1715035488
14,adamstown,-25.066,-130.1015,21.95,78,45,8.19,PN,1715035488
15,bredasdorp,-34.5322,20.0403,14.78,66,0,1.41,ZA,1715035488
16,tingi,-11.3,35.0333,16.99,90,7,1.48,TZ,1715035488
17,xilin hot,43.9667,116.0333,11.9,27,1,1.81,CN,1715035489
18,constantia,44.1833,28.65,10.39,74,59,6.85,RO,1715035446
19,georgetown,5.4112,100.3354,26.08,88,40,1.54,MY,1715035408
20,alvand,36.3187,49.1678,7.76,92,100,1.27,IR,1715035489
21,waddan,29.1614,16.139,22.74,25,0,4.01,LY,1715035489
22,yellowknife,62.456,-114.3525,17.45,48,75,5.81,CA,1715035489
23,touros,-5.1989,-35.4608,26.54,87,64,4.16,BR,1715035340
24,karratha,-20.7377,116.8463,24.23,41,19,3.09,AU,1715035432
25,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,78,75,4.0,RU,1715035490
26,al bawiti,28.3492,28.8659,17.57,55,39,3.19,EG,1715035490
27,whitehorse,60.7161,-135.0538,7.23,87,100,3.6,CA,1715035453
28,punta arenas,-53.15,-70.9167,3.06,87,75,1.03,CL,1715035490
29,port elizabeth,-33.918,25.5701,17.4,99,40,1.54,ZA,1715035376
30,invercargill,-46.4,168.35,8.34,94,97,3.13,NZ,1715035490
31,edinburgh of the seven seas,-37.0676,-12.3116,13.97,68,67,8.05,SH,1715035490
32,jamestown,42.097,-79.2353,17.8,36,0,4.63,US,1715035277
33,beau vallon,-20.4189,57.6953,25.13,69,40,6.17,MU,1715035387
34,pervomayskoye,43.919,46.7102,7.99,79,60,0.3,RU,1715035491
35,stanley,54.868,-1.6985,10.29,95,100,2.06,GB,1715035192
36,kapa'a,22.0752,-159.319,27.99,75,20,7.72,US,1715035396
37,iqaluit,63.7506,-68.5145,-1.15,64,20,4.63,CA,1715035491
38,nadvoitsy,63.8667,34.3167,-2.34,94,100,2.45,RU,1715035491
39,jose bonifacio,-21.0528,-49.6883,29.59,45,46,1.64,BR,1715035491
40,puerto natales,-51.7236,-72.4875,-1.34,91,19,1.49,CL,1715035350
41,ifanadiana,-21.3,47.6333,16.58,96,55,1.03,MG,1715035491
42,margaret river,-33.95,115.0667,12.39,87,8,3.32,AU,1715035443
43,isafjordur,66.0755,-23.124,1.7,89,100,3.56,IS,1715035492
44,cabinda,-5.55,12.2,27.08,94,23,1.54,AO,1715035492
45,farafangana,-22.8167,47.8333,21.71,81,65,2.05,MG,1715035492
46,roma,43.2128,-75.4557,20.08,32,0,5.14,US,1715035349
47,maceio,-9.6658,-35.7353,25.69,94,100,2.06,BR,1715035492
48,sisimiut,66.9395,-53.6735,-5.24,80,78,3.07,GL,1715035431
49,aasiaat,68.7098,-52.8699,-10.41,86,81,2.63,GL,1715035492
50,greymouth,-42.4667,171.2,9.49,52,77,2.31,NZ,1715035492
51,mount pearl,47.5166,-52.7813,6.92,68,100,2.68,CA,1715035493
52,crucecita,-28.95,-58.9833,26.1,77,88,2.37,AR,1715035493
53,wailua homesteads,22.0669,-159.378,27.24,75,20,7.72,US,1715035493
54,hermanus,-34.4187,19.2345,15.45,70,39,2.55,ZA,1715035493
55,port-cartier,50.0334,-66.8654,7.12,71,98,5.27,CA,1715035493
56,afaahiti,-17.75,-149.2833,28.93,85,73,9.94,PF,1715035493
57,bozeman,45.6796,-111.0386,10.01,50,100,6.17,US,1715035493
58,ushuaia,-54.8,-68.3,0.81,93,100,3.09,AR,1715035324
59,nova sintra,14.8667,-24.7167,23.14,79,4,7.94,CV,1715035493
60,mu'minobod,38.1085,70.0285,13.35,49,1,4.17,TJ,1715035494
61,bethel,41.3712,-73.414,23.05,64,100,3.09,US,1715035494
62,qaqortoq,60.7167,-46.0333,-1.1,74,1,1.8,GL,1715035494
63,queenstown,-31.8976,26.8753,14.97,39,0,2.31,ZA,1715035494
64,hangu,39.2489,117.7892,16.02,30,50,5.55,CN,1715035494
65,zhangatas,43.5667,69.75,17.63,67,97,3.23,KZ,1715035280
66,badger,64.8,-147.5333,1.14,90,100,3.6,US,1715035376
67,khandyga,62.6667,135.6,5.33,85,31,2.5,RU,1715035494
68,quellon,-43.1167,-73.6167,6.07,91,100,3.41,CL,1715035495
69,harper,4.375,-7.7169,27.05,84,98,1.54,LR,1715035495
70,kalispell,48.1958,-114.3129,11.02,59,20,6.69,US,1715035495
71,albany,42.6001,-73.9662,23.23,72,100,2.68,US,1715035379
72,uturoa,-16.7333,-151.4333,27.81,80,57,9.21,PF,1715035495
73,fisterra,42.9049,-9.2629,11.53,86,7,3.94,ES,1715035495
74,avarua,-21.2078,-159.775,28.03,89,75,6.17,CK,1715035495
75,chonchi,-42.6128,-73.8092,5.07,98,100,2.09,CL,1715035495
76,port douglas,-16.4833,145.4667,23.47,87,73,4.29,AU,1715035495
77,dalnerechensk,45.9339,133.7225,8.38,53,40,6.56,RU,1715035496
78,onega,63.9061,38.1404,-3.41,77,100,2.29,RU,1715035496
79,enewetak,11.3474,162.3373,28.15,74,99,9.49,MH,1715035380
80,vorgashor,67.5833,63.95,-18.44,100,82,3.27,RU,1715035296
81,lazaro cardenas,17.9583,-102.2,28.31,56,81,4.68,MX,1715035496
82,ust'-uda,54.1742,103.0304,10.96,67,100,3.43,RU,1715035496
83,vredendal,-31.6683,18.5012,13.11,87,0,0.24,ZA,1715035496
84,nova vicosa,-17.8919,-39.3719,25.35,83,0,4.07,BR,1715035414
85,ust-tsilma,65.441,52.1498,-8.55,97,100,1.34,RU,1715035496
86,tamanrasset,22.785,5.5228,26.55,26,100,3.8,DZ,1715035497
87,aioun,16.6614,-9.6149,33.32,8,0,4.8,MR,1715035497
88,santa terezinha,-29.9002,-50.0904,23.1,77,1,2.27,BR,1715035497
89,palghat,10.7833,76.65,25.68,86,75,2.61,IN,1715035368
90,vilyuchinsk,52.9306,158.4028,4.15,81,99,2.51,RU,1715035403
91,tiksi,71.6872,128.8694,-1.75,90,82,2.06,RU,1715035497
92,ilulissat,69.2167,-51.1,-4.99,68,75,4.63,GL,1715035385
93,melfort,52.8667,-104.6177,11.07,82,100,4.63,CA,1715035339
94,al jawf,29.5,38.75,17.49,40,0,6.28,SA,1715035498
95,longyearbyen,78.2186,15.6401,-4.09,80,75,1.54,SJ,1715035498
96,ribeira grande,38.5167,-28.7,18.22,88,40,6.26,PT,1715035388
97,crane,31.3974,-102.3501,32.78,10,2,10.79,US,1715035498
98,banda aceh,5.5577,95.3222,27.42,80,99,2.4,ID,1715035264
99,belmonte,-15.8631,-38.8828,25.31,84,0,3.27,BR,1715035422
100,kulhudhuffushi,6.6221,73.07,29.34,75,71,4.1,MV,1715035498
101,tabou,4.423,-7.3528,26.8,86,91,1.76,CI,1715035499
102,alo,7.4178,6.7371,26.36,86,62,1.65,NG,1715035499
103,vernon,50.2581,-119.2691,17.34,41,100,5.81,CA,1715035216
104,mil'kovo,55.6078,37.7956,4.99,61,100,4.29,RU,1715035413
105,arteche,12.2645,125.4048,27.04,87,100,1.79,PH,1715035499
106,sao tome,0.3365,6.7273,27.83,82,86,4.89,ST,1715035499
107,lerwick,60.1545,-1.1494,9.0,95,95,1.24,GB,1715035384
108,lebu,-37.6167,-73.65,11.2,91,100,13.25,CL,1715035500
109,miracema do tocantins,-9.5618,-48.3967,27.29,60,34,0.96,BR,1715035500
110,quang ngai,15.1167,108.8,24.92,81,61,1.66,VN,1715035500
111,west island,-12.1568,96.8225,26.99,78,40,5.66,CC,1715035381
112,tazovsky,67.4667,78.7,-14.62,99,96,3.72,RU,1715035401
113,utrik,11.2278,169.8474,27.28,82,93,8.47,MH,1715035376
114,yanam,16.7333,82.2167,27.16,95,25,1.59,IN,1715035500
115,talnakh,69.4865,88.3972,-14.33,99,99,2.78,RU,1715035379
116,nuuk,64.1835,-51.7216,-1.66,59,0,7.2,GL,1715035500
117,puerto baquerizo moreno,-0.9,-89.6,28.55,65,20,4.12,EC,1715035501
118,karagandy,49.8019,73.1021,5.97,41,97,3.68,KZ,1715035501
119,yuzhno-kurilsk,44.0306,145.8556,5.76,99,100,4.02,RU,1715035501
120,yoro,15.1333,-87.1333,36.29,30,40,2.06,HN,1715035501
121,daru,-9.0763,143.2092,26.68,87,95,6.45,PG,1715035501
122,bouza,14.4229,6.0428,32.76,19,43,1.47,NE,1715035501
123,egilsstadir,65.2653,-14.3948,4.95,60,0,4.63,IS,1715035501
124,bilibino,68.0546,166.4372,-2.79,90,85,1.2,RU,1715035502
125,dalbandin,28.8947,64.4101,27.47,19,0,2.57,PK,1715035502
126,markovo,57.3206,107.0881,9.59,70,94,4.47,RU,1715035502
127,kingscliff,-28.2667,153.5667,20.98,94,75,5.14,AU,1715035502
128,dudinka,69.4058,86.1778,-14.1,100,99,2.06,RU,1715035502
129,guiuan,11.0333,125.7247,28.03,76,71,2.25,PH,1715035502
130,north bend,43.4065,-124.2243,12.87,76,100,7.2,US,1715035413
131,zapolyarnyy,69.4154,30.8136,-4.4,82,100,3.12,RU,1715035503
132,yulinshi,38.2906,109.7494,16.36,25,0,3.7,CN,1715035503
133,al bahah,20.0129,41.4677,17.68,53,0,0.95,SA,1715035503
134,port mathurin,-19.6833,63.4167,25.86,72,57,10.82,MU,1715035388
135,namtsy,62.7161,129.6658,9.14,67,100,6.74,RU,1715035504
136,saint-philippe,-21.3585,55.7679,21.77,82,46,5.97,RE,1715035504
137,agat village,13.3886,144.6585,29.64,77,0,3.6,GU,1715035504
138,chunskiy,56.0815,99.6342,5.93,70,27,1.96,RU,1715035504
139,iskateley,67.6803,53.1512,-10.55,91,80,4.02,RU,1715035381
140,muisne,0.6,-80.0333,26.09,89,99,4.11,EC,1715035411
141,puerto ayora,-0.7393,-90.3518,25.98,95,34,1.79,EC,1715035505
142,carnarvon,-24.8667,113.6333,19.06,61,0,7.63,AU,1715035505
143,manta,-0.95,-80.7333,29.88,66,40,6.17,EC,1715035505
144,san antonio de pale,-1.4014,5.6325,28.0,79,93,7.6,GQ,1715035505
145,ust'-ilimsk,58.0006,102.6619,6.91,79,6,4.02,RU,1715035497
146,bamboo flat,11.7,92.7167,28.14,78,34,0.47,IN,1715035505
147,uchiza,-8.4592,-76.4633,26.27,76,40,1.14,PE,1715035506
148,keflavik,64.0049,-22.5624,4.95,87,40,7.2,IS,1715035399
149,slutsk,53.0274,27.5597,11.27,95,100,2.88,BY,1715035506
150,morondava,-20.2833,44.2833,23.05,58,0,3.32,MG,1715035506
151,divnogorsk,55.9594,92.3619,4.3,88,20,1.6,RU,1715035506
152,udachny,66.4167,112.4,-0.31,98,97,9.17,RU,1715035506
153,tadine,-21.55,167.8833,24.37,60,5,5.26,NC,1715035506
154,thompson,55.7435,-97.8558,17.09,36,75,1.54,CA,1715035506
155,saint-pierre,-21.3393,55.4781,21.82,68,0,3.6,RE,1715035395
156,port lincoln,-34.7333,135.8667,15.37,82,0,2.89,AU,1715035383
157,nagqu,31.5,92.0,-0.4,68,65,2.1,CN,1715035507
158,alice springs,-23.7,133.8833,10.75,82,89,2.57,AU,1715035507
159,sao jose da coroa grande,-8.8978,-35.1478,25.92,90,100,3.52,BR,1715035507
160,uglegorsk,49.0833,142.0333,3.11,91,100,3.31,RU,1715035507
161,kourou,5.1552,-52.6478,28.03,92,100,3.09,GF,1715035507
162,pangani,-5.4333,38.9667,24.32,91,95,2.93,TZ,1715035507
163,rexburg,43.826,-111.7897,12.73,52,100,5.14,US,1715035508
164,beihai,21.4833,109.1,24.3,93,22,3.85,CN,1715035508
165,kembe,4.6228,21.8865,25.18,55,15,0.76,CF,1715035508
166,kruisfontein,-34.0033,24.7314,15.06,80,1,2.34,ZA,1715035508
167,malango,-2.9627,119.9001,20.6,97,99,0.68,ID,1715035508
168,ceelbuur,4.685,46.6176,28.69,70,96,6.48,SO,1715035508
169,severnoye,56.3491,78.3619,3.32,58,34,2.68,RU,1715035508
170,okhotsk,59.3833,143.3,2.27,87,74,2.2,RU,1715035508
171,novodvinsk,64.4165,40.8122,-2.34,73,96,0.96,RU,1715035416
172,sant cristofol de les fonts,42.1696,2.4994,13.15,87,93,0.27,ES,1715035509
173,saynshand,44.8824,110.1163,16.53,18,25,1.38,MN,1715035412
174,castillos,-34.1667,-53.8333,19.06,98,100,1.26,UY,1715035509
175,tual,-5.6667,132.75,27.21,84,100,6.62,ID,1715035509
176,el-tor,28.2364,33.6254,23.08,68,0,5.66,EG,1715035509
177,nabire,-3.3667,135.4833,26.91,86,99,0.85,ID,1715035380
178,alesund,62.4723,6.1549,10.97,98,100,4.63,NO,1715035509
179,blackmans bay,-43.0167,147.3167,8.07,90,8,0.45,AU,1715035509
180,bonthe,7.5264,-12.505,27.92,81,54,2.36,SL,1715035509
181,kone,-21.0595,164.8658,25.98,49,5,1.96,NC,1715035510
182,saskatoon,52.1168,-106.6345,10.99,87,100,6.71,CA,1715035366
183,mount isa,-20.7333,139.5,20.87,40,44,4.63,AU,1715035510
184,cafayate,-26.073,-65.9761,23.09,19,1,2.57,AR,1715035229
185,wanning,18.8003,110.3967,25.54,90,97,0.73,CN,1715035510
186,laem sing,12.4816,102.0738,26.19,83,64,3.05,TH,1715035510
187,sambava,-14.2667,50.1667,22.99,88,99,4.52,MG,1715035510
188,st. john's,47.5649,-52.7093,7.38,68,100,1.34,CA,1715035502
189,geidam,12.897,11.9304,33.03,15,66,2.64,NG,1715035511
190,laurens,32.4502,-82.9165,30.24,42,0,2.57,US,1715035511
191,kyaikkami,16.08,97.5675,29.71,75,1,2.14,MM,1715035511
192,olyokminsk,60.3736,120.4264,6.78,91,100,3.03,RU,1715035511
193,tilcara,-23.5776,-65.3509,13.07,14,0,5.24,AR,1715035511
194,howard springs,-12.497,131.047,23.95,81,91,2.89,AU,1715035511
195,warmbad,-28.45,18.7333,21.44,30,0,2.81,NA,1715035511
196,victoria point,-27.5833,153.3,21.2,89,35,1.34,AU,1715035420
197,pariaman,-0.619,100.12,26.03,86,100,1.57,ID,1715035511
198,luena,-11.7833,19.9167,16.37,63,1,1.03,AO,1715035512
199,terenozek,45.05,64.9833,17.29,50,25,1.73,KZ,1715035512
200,cam ranh,11.9214,109.1591,25.98,94,20,1.54,VN,1715035512
201,college,64.8569,-147.8028,1.18,88,100,3.6,US,1715035512
202,sinabang,2.4803,96.3801,25.72,92,100,2.13,ID,1715035387
203,papatowai,-46.5619,169.4708,10.25,72,72,5.97,NZ,1715035396
204,papao,-17.75,-149.55,29.82,83,61,10.42,PF,1715035512
205,howrah,22.5892,88.3103,23.0,100,100,3.09,IN,1715035513
206,alofi,-19.0595,-169.9187,28.94,89,75,3.6,NU,1715035513
207,benghazi,32.1167,20.0667,18.61,62,0,4.12,LY,1715035513
208,ketou,7.3633,2.5998,26.28,85,99,1.9,BJ,1715035513
209,sao vicente,-23.9631,-46.3919,33.1,26,0,1.05,BR,1715035411
210,cassia,-20.5831,-46.9219,19.12,74,0,0.95,BR,1715035513
211,olonkinbyen,70.9221,-8.7187,0.3,96,100,7.38,SJ,1715035513
212,nemuro,43.3236,145.575,6.87,100,100,4.09,JP,1715035513
213,butembo,0.15,29.2833,15.32,90,58,1.44,CD,1715035514
214,ndele,8.4109,20.6473,27.71,23,22,1.09,CF,1715035514
215,zambezi,-13.5432,23.1047,20.35,64,19,2.7,ZM,1715035514
216,karoi,-16.8099,29.6925,16.49,62,0,2.23,ZW,1715035514
217,lihue,21.9789,-159.3672,27.58,67,20,7.72,US,1715035514
218,sidney,-33.8679,151.2073,16.88,86,75,3.09,AU,1715035416
219,ust-nera,64.5667,143.2,2.78,82,39,2.67,RU,1715035380
220,andovoranto,-18.95,49.1,20.79,88,14,2.86,MG,1715035515
221,horishni plavni,49.0097,33.6455,14.48,50,83,6.93,UA,1715035515
222,kailua-kona,19.6406,-155.9956,26.98,78,40,5.14,US,1715035515
223,sangre grande,10.5835,-61.1177,29.98,100,98,3.09,TT,1715035515
224,kuantan,3.8077,103.326,26.06,94,20,0.51,MY,1715035515
225,cody,44.5263,-109.0565,10.9,49,100,7.15,US,1715035490
226,ulladulla,-35.35,150.4667,14.7,81,96,2.62,AU,1715035515
227,colonia,50.9333,6.95,13.87,93,75,2.57,DE,1715035515
228,champerico,14.3,-91.9167,31.3,70,11,4.89,GT,1715035516
229,argo,37.6333,22.7333,15.85,65,51,1.7,GR,1715035401
230,valley city,46.9233,-98.0032,19.29,72,100,10.29,US,1715035516
231,nyurba,63.2842,118.3319,3.72,100,100,6.4,RU,1715035516
232,chambersburg,39.9376,-77.6611,22.14,80,100,0.77,US,1715035516
233,abalak,58.1286,68.5944,7.97,38,100,2.07,RU,1715035516
234,ubinskoye,55.3068,79.6802,2.59,57,6,3.66,RU,1715035516
235,porto novo,6.4965,2.6036,28.9,79,100,2.81,BJ,1715035516
236,atafu village,-8.5421,-172.5159,29.88,75,42,5.23,TK,1715035396
237,kismayo,-0.3582,42.5454,27.13,85,100,5.4,SO,1715035517
238,walvis bay,-22.9575,14.5053,14.53,94,0,2.57,NA,1715035517
239,flying fish cove,-10.4217,105.6791,25.82,88,75,5.14,CX,1715035517
240,tisul',55.7611,88.3122,3.05,88,55,2.16,RU,1715035517
241,arvada,39.8028,-105.0875,14.69,29,75,15.95,US,1715035474
242,holualoa,19.6228,-155.9522,24.91,78,40,5.14,US,1715035517
243,caninde,-4.3589,-39.3117,23.5,87,100,0.2,BR,1715035517
244,aykhal,66.0,111.5,0.06,97,96,9.47,RU,1715035517
245,zaysan,47.4667,84.8667,10.31,76,100,1.41,KZ,1715035518
246,chibougamau,49.9168,-74.3659,9.79,66,20,7.72,CA,1715035518
247,harstad,68.799,16.5293,1.56,89,49,8.05,NO,1715035413
248,la ronge,55.1001,-105.2842,14.14,51,100,3.6,CA,1715035518
249,kirensk,57.7853,108.1119,9.42,71,95,4.47,RU,1715035518
250,peniche,39.3558,-9.3811,13.95,86,3,8.15,PT,1715035518
251,marsh harbour,26.5412,-77.0636,24.16,75,2,7.31,BS,1715035518
252,berezovyy,51.6667,135.7,8.62,50,7,0.84,RU,1715035432
253,bengaluru,12.9762,77.6033,23.8,73,40,3.09,IN,1715035519
254,midvagur,62.0511,-7.1939,6.46,81,75,2.57,FO,1715035409
255,lashio,22.9333,97.75,18.61,67,89,0.92,MM,1715035519
256,dickinson,29.4608,-95.0513,29.51,83,75,8.75,US,1715035498
257,pisco,-13.7,-76.2167,22.03,78,0,5.66,PE,1715035266
258,santa cruz,-17.8,-63.1667,28.7,65,40,6.69,BO,1715035420
259,aden,12.7794,45.0367,29.51,77,33,3.9,YE,1715035519
260,saipan,15.1355,145.701,30.39,66,75,4.63,MP,1715035519
261,kargasok,59.0556,80.8572,2.76,69,29,4.47,RU,1715035520
262,iquitos,-3.7481,-73.2472,29.02,84,75,0.51,PE,1715035520
263,saint-joseph,-21.3667,55.6167,21.21,80,23,6.25,RE,1715035384
264,al burayqah,30.4062,19.5739,18.66,73,0,3.34,LY,1715035520
265,mungwi,-10.1732,31.3694,16.86,94,31,1.73,ZM,1715035520
266,la'ie,21.6477,-157.9253,26.98,74,33,2.68,US,1715035520
267,hadibu,12.65,54.0333,29.13,75,65,2.61,YE,1715035520
268,nadi,-17.8,177.4167,29.0,70,75,3.6,FJ,1715035520
269,hengchun,22.0042,120.7439,27.29,77,99,3.56,TW,1715035521
270,libreville,0.3925,9.4537,29.01,89,40,5.14,GA,1715035521
271,overath,50.9328,7.2839,13.55,90,75,2.57,DE,1715035521
272,east ballina,-28.8667,153.5833,17.67,80,56,8.8,AU,1715035521
273,happy valley-goose bay,53.3168,-60.3315,12.17,47,75,2.57,CA,1715035243
274,funafuti,-8.5243,179.1942,32.0,74,40,2.57,TV,1715035521
275,atar,20.5169,-13.0499,32.17,9,80,2.39,MR,1715035521
276,east london,-33.0153,27.9116,21.76,52,0,0.5,ZA,1715035507
277,hawaiian paradise park,19.5933,-154.9731,24.46,91,100,6.69,US,1715035522
278,pimentel,-6.8367,-79.9342,22.16,73,0,10.29,PE,1715035522
279,cidreira,-30.1811,-50.2056,22.46,79,3,0.56,BR,1715035376
280,baiti,13.745,-14.7482,31.14,26,8,7.14,SN,1715035522
281,inari,68.906,27.0288,-1.69,94,96,3.54,FI,1715035522
282,shalqar,47.8333,59.6,8.31,80,69,3.12,KZ,1715035523
283,kargopol',61.5071,38.9456,-4.08,83,61,1.15,RU,1715035523
284,port augusta,-32.5,137.7667,15.36,56,0,2.85,AU,1715035391
285,beira,-19.8436,34.8389,21.05,88,0,1.54,MZ,1715035523
